subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls
Personals,Anong gusto mong sabihin kay crush?,Hi crush,76,"To my crush na kapitbhay namin, sana wala ka talgang asawa, wala ako idea about sayo.","May 11, 2013",annemary0030, 0.00, 3,,,,,
Personals,Anong gusto mong sabihin kay crush?,,78,hi crush...sana mapanaginipan mo ko habang ka,"May 12, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,85,Hi crush...TS ka na pala ngayon..di na kita mareach,"May 13, 2013",SilverStreak, 0.17, 476,,,,,
Personals,Anong gusto mong sabihin kay crush?,,81,i crush you physically and intellectually,"May 13, 2013",beach_babe, 1.80," 5,090",,,,,
Personals,Anong gusto mong sabihin kay crush?,,83,oist sino yan,"May 13, 2013",mochanne, 0.16, 437,Hey CRUSH Bakit lagi mo akong Inaaway sa PM pero yung mga nanlalait at UMOO-KRAY sa iyo ng Harap-Harapan dito sa PEX eh deadma ka lang,freedertjosh,,,
Personals,Anong gusto mong sabihin kay crush?,,82,Hey CRUSH Bakit lagi mo akong Inaaway sa PM pero yung mga nanlalait at UMOO-KRAY sa iyo ng Harap-Harapan dito sa PEX eh deadma ka lang,"May 13, 2013",freedertjosh, 0.48," 1,452",,,,,
Personals,Anong gusto mong sabihin kay crush?,,86,hi crush. kilig much,"May 13, 2013",mochanne, 0.16, 437,Hi crush...TS ka na pala ngayon..di na kita mareach,SilverStreak,,,
Personals,Anong gusto mong sabihin kay crush?,,90,ang cute cute cute mo! kering keri,"Jun 4, 2013",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,89,na check niya itong facebook page para pwede siya mag post ng questio niya tungkol sa eye problem niya https://www.facebook.com/asianvisionsgroup,"Jun 3, 2013",grassjelly, 0.15, 298,,,,,https://www.facebook.com/asianvisionsgroup
Personals,Anong gusto mong sabihin kay crush?,,94,"hi crush,","Jun 18, 2013",mochanne, 0.16, 437,,,http://24.media.tumblr.com/979c502b165e7fcdccb356a8b79ea971/tumblr_mmorkt5u6C1reyd4yo1_500.jpg,,
Personals,Anong gusto mong sabihin kay crush?,,98,pwede ba kita ma-take out mamaya?,"Jun 19, 2013",mluisaconti, 0.31, 612,,,,,
Personals,Anong gusto mong sabihin kay crush?,,84,Susunod........Anne Gustong alamin kung sino ang UMAAWAY sa akin sa PM ABANGAN!!!!!!!!!,"May 13, 2013",freedertjosh, 0.48," 1,452",oist sino yan,mochanne,,,
Personals,Anong gusto mong sabihin kay crush?,,87,"Dear Crush, Love lots, Lui","May 14, 2013",mluisaconti, 0.31, 612,,,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-frc3/s480x480/971339_630222773671713_1952783878_n.jpg,,
Personals,Anong gusto mong sabihin kay crush?,,93,"Add me on Facebook, dammit!","Jun 16, 2013",MissAnaMaria, 0.00, 4,,,,,
Personals,Anong gusto mong sabihin kay crush?,,92,"Dear crush, You're VERY NEAR, yet VERY FAR hay life","Jun 5, 2013",krisantine, 0.00, 5,,,,,
Personals,Anong gusto mong sabihin kay crush?,,97,"crush, brush mo naman teeth mo.","Jun 19, 2013",mangkepweng2, 0.00, 1,,,,,
Personals,Anong gusto mong sabihin kay crush?,"Dear Crush,",100,I am now over you. Goodbye.,"Feb 22, 2014",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,99,hmmmm basta thank you lang..nag eenjoy ako kausap ka hope you're fine..,"Jun 21, 2013",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,96,"i can feel the changes in you, nag aadapt ka na sa pace ko..thanks i crush you","Jun 19, 2013",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,88,ang cute mo,"Jun 2, 2013",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,,91,miles away...you're so many miles away... hay if miles na nga ang pagitan nating two cubicles... di kita kasi ma-sightsung!,"Jun 4, 2013",mluisaconti, 0.31, 612,,,,,
Personals,Anong gusto mong sabihin kay crush?,,95,"Base sa mga kwento nila 'bout you, na turnoff na ko sayo panu na ko wala na ko inspiration sa office ... huhu..","Jun 18, 2013",esla, 0, 0,,,,,
Personals,Anong gusto mong sabihin kay crush?,,104,hello is it me you're looking for?,"May 16, 2016",beeps05, 0, 0,,,,,
Personals,Anong gusto mong sabihin kay crush?,,108,"crush, iba ka talagang magpa-crush, alam mo naman na crush pa rin kita, eto pa rin ako't umaasa kasi paasa ka, alam mo ba kung bakit kita crush, kasi, crushable ka <3","May 25, 2016",bd_alexie, 0.03, 15,,,,,
Personals,Anong gusto mong sabihin kay crush?,,102,"^^yiheee! ipush na yan hardrive! ************************************* Crush, bawas bawasan ang pagiging suplado ha? Lui","Feb 23, 2014",mluisaconti, 0.31, 612,,,,,
Personals,Anong gusto mong sabihin kay crush?,,107,pag nasa tamang edad ka na pwede ba kitang ligawan?,"May 25, 2016",ryker79, 0.00, 1,,,,,
Personals,Anong gusto mong sabihin kay crush?,ayeeeeeeee!!!,103,,"May 13, 2016",LONELYDON, 0.10, 236,,,https://pbs.twimg.com/media/Ch5G2OxUoAAcjOC.jpg,,
Personals,Anong gusto mong sabihin kay crush?,yehey,106,"Crush, pinasaya mo ako kasi hindi ka na aalis. Nakachat na din kita after a few days of absence. Namiss kita, sana namiss mo din ako..","May 18, 2016",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,110,"I'm letting you go now i know, crush lang to kaya paano mo mai-le-let go yung isang tao kung hindi siya naging sayo pero sa akin, i-le-let go ko na yung damdamin ko para sa kanya para maging malaya na rin ako tsaka maging ok na rin ako kasi these past few days talagang wala na ako sa sarili ko, napabayaan ko yung pag-aaral ko, di na ako maasahan sa lahat ng bagay, nagkakasakit na ako dahil lang sayo hard talaga kapg unrequired love no? lalo na kapag straight crushes","May 30, 2016",ChaCharotSantos, 0.96," 1,653",,,,,
Personals,Anong gusto mong sabihin kay crush?,,101,Ahem crush sagutin mo na ako ng liligawan kita habang kayakap kita puwede ba,"Feb 22, 2014",hardrive, 1.62," 2,616",,,,,
Personals,Anong gusto mong sabihin kay crush?,,114,dear crush. super cute mo. alam kong wala namang patutunguhan yung pagkahumaling ko sayo dahil bakla ka pero huhuhuh bakit ang gwapo mo kasi,"Jul 9, 2017",charisms, 0.08, 26,,,,,
Personals,Anong gusto mong sabihin kay crush?,,111,"^wow ang drama charot ======== Wherever you are I hope you're doing okay.Namimiss ko ang katalinuhan mo, but I guess you're busy now.Baka panay na naman pasyal mo sa Libre mo naman ako sa ramen house sa So paano ba?I'll see you when I see you STILL looking forward to seeing John Wick 2, and isa lang maaalala ko","May 30, 2016",katze_schmuse, 3.46," 6,742",,,,,
Personals,Anong gusto mong sabihin kay crush?,weekend,109,"pag weekends, di kita nakikita. pag may pasok lang sulit at busog ang mga mata ko. haaay.","May 29, 2016",LONELYDON, 0.10, 236,,,,,
Personals,Anong gusto mong sabihin kay crush?,,115,daan daan ka lang. wag ka lang titingin.,"Sep 7, 2017",frittycoffee, 0.15, 318,,,https://media.giphy.com/media/13IFOoy9qT4bDi/giphy.gif,,
Personals,Anong gusto mong sabihin kay crush?,,105,"Ms. ____, ang cute mo, kahit ilang oras tayong mag titigan.... hindi pwede kasi may asawa na ako","May 18, 2016",tidge, 1.13," 6,653",,,,,
Personals,Anong gusto mong sabihin kay crush?,,113,"Yung crush ko nasa symbianize eh, hi crush! Crush din kita.","Jul 8, 2017",cess466, 0, 0,,,,,
Personals,Anong gusto mong sabihin kay crush?,,112,"Madami akong crush. Ang crush is pag hanga lang naman. Para kay Katze ko. Yung nasa taas ko. Alam kong hindi ako naging mabuting tao para sayo at sa pakikisama ko sayo, pero kahit anong inis, galit at tampo mo sa akin, handa parin akong tulungan ka sa oras na kailanganin mo ako! Kahit anong mangyari, hindi parin magbabago ang aking paningin sayo simula nung unang nakilala kita! Even If you end up as the World's Enemy, I'll be your Knight! I will be loyal to you! in every way!","Jul 14, 2016",HopelessDespair, 1.05, 535,,,,,
